TD index,NDVI_summ_slope,agro_type,year_plant,rainfall,temp,elevation,slope,aspect,flow_dir,stream_Den,DD,twi,tpi_8m
5.6,0.0007,liman,2014,231.7579956,12.6,304.05,1.275769949,250.7050018,8,0,0.746677995,9.321180344,-0.273140013
2.8,0.0017,liman,1986,219.6470032,12.5,295.87,3.718650103,219.3049927,8,0,0.326566994,5.652770042,0.128977001
19.7,0.0046,liman,1983,236.8860016,12.7,294.29,2.097579956,299.678009,16,0,0.781108975,8.403759956,-0.27155
13.9,0.0049,liman,1983,234.5610046,12.7,288.05,3.893709898,144.6629944,4,0,0.745141029,10.86460018,-1.474400043
22.8,0.005,liman,2012,234.1360016,12.7,280.12,3.14715004,48.38290024,4,0.589246988,0.801479995,5.944630146,-0.349546999
11.4,0.0045,liman,2001,231.6260071,12.6,254.37,2.104870081,159.9550018,4,0.948809981,0.71113199,10.30480003,-0.503154993
9.7,0.002,liman,2011,233.0809937,12.6,266.68,2.095240116,293.2940063,16,1.954139948,0.846201003,10.34739971,-0.385609001
7.1,0.002,liman,2009,246.2619934,12.8,261.68,2.213920116,206.9869995,8,0,0.934118986,7.434430122,-0.093666002
22.2,0.0026,liman,1978,273.4559937,13.2,261.34,0.606087029,210.1239929,8,0,0.794184029,9.325639725,-0.321727008
9.4,0.0016,liman,2011,238.8950043,12.7,261.94,2.199970007,283.4880066,16,2.701699972,0.927365005,11.54740047,-0.687726021
11.3,0.0024,liman,2011,234.7879944,12.6,279.45,3.22487998,249.2369995,16,1.771520019,0.81082499,5.32322979,-0.241713002
19.7,0.0023,liman,1978,248.2619934,12.8,278.82,1.993149996,294.8160095,16,2.54399991,0.820950985,7.490330219,-0.935769975
11.8,0.0017,liman,2005,250.6889954,12.9,272.83,1.771569967,312.5570068,32,3.104020119,0.85888201,6.183310032,-0.089778103
7.1,0.0015,liman,2012,277.0190125,13,232.04,1.242540002,95.47460175,1,4.068840027,0.695887983,7.361259937,-0.447822005
4.5,0.0012,liman,2012,271.9309998,13.1,252.14,2.236279964,329.7680054,32,2.082540035,0.975714982,7.87733984,-0.385524005
10,0.0011,liman,2009,264.6400146,12.9,245.73,3.515039921,242.0599976,8,2.79569006,0.890366018,9.509019852,-0.581166029
7.8,0.0031,liman,2008,249.1190033,12.8,257.58,2.465519905,272.6759949,16,3.345510006,0.953752995,6.743040085,-0.226238996
12.5,0.0025,liman,2011,239.9230042,12.7,247.56,2.697329998,296.3039856,32,2.751430035,0.972549975,8.548049927,-1.340510011
9.6,0.0025,liman,2001,230.4140015,12.6,231.5,1.955350041,268.6170044,16,0.826952994,0.53144598,7.018159866,-0.243561
14.9,0.0046,liman,2010,259.9509888,13,263.98,1.855890036,333.3519897,32,1.020149946,0.921736002,9.196249962,-0.133545995
8.8,0.0054,shichs,1991,261.1690063,13.1,287.8,2.484179974,286.5859985,16,0,0.891062975,6.276000023,0.178537995
11.3,0.0019,shichs,2009,259.3039856,12.9,265.76,4.401740074,127.822998,2,1.353309989,0.888922989,5.611010075,-0.00724742
8.1,0.0011,shichs,2010,257.7890015,13,275.71,2.291460037,344.9979858,64,3.639050007,0.922653019,8.387530327,-0.066822201
5.2,0.0011,shichs,1986,236.3170013,12.6,263.28,1.800349951,341.6019897,32,0.317849994,0.884585023,6.273439884,-0.0214769
9,0.0013,liman,2015,260.7250061,12.8,218.23,1.258479953,246.348999,16,0.165602997,0.489643008,10.03849983,-0.190559998
14.6,0.0081,liman,2007,269.2780151,12.8,197.6,3.491189957,29.46570015,16,0,0.443430007,7.21295023,-0.71430397
6.3,0.0019,shichs,2011,237.8609924,12.7,278.19,3.966939926,350.8529968,64,2.770529985,0.916729987,6.788159847,0.046032999
16.1,0.0022,shichs,1987,230.3930054,12.6,290.1,1.925109982,254.7689972,16,0.355646014,0.54915899,5.31058979,0.415015996
5.8,0.0015,shichs,2010,243.0370026,12.8,280.85,3.672060013,190.0469971,4,0.302004009,0.77907902,5.058559895,0.354525
8,0.0012,shichs,2010,254.6340027,12.9,278.09,3.225950003,320.3540039,32,4.899580002,0.923018992,6.044400215,0.016536299
7.2,0.0005,shichs,2014,266.5969849,12.9,241.27,4.901040077,7.711430073,64,2.669739962,0.764340997,8.259300232,-0.0148892
5.4,0.0009,shichs,2011,273.6839905,13,248.65,2.88812995,297.1659851,32,0,0.761807024,6.304009914,-0.109494999
10.6,0.0027,shichs,2009,265.2900085,13,252.48,10.33119965,50.29059982,128,3.031579971,0.995940983,5.944439888,0.259297997
5.6,0.0014,shichs,2012,243.6119995,12.7,246.8,1.136340022,179.5939941,4,2.324790001,0.683988988,6.914559841,0.089408897
12.2,0.0004,shichs,2004,253.302002,12.9,285.59,9.58273983,17.13509941,64,3.421040058,0.768043995,5.643819809,0.189328
3.9,0.0023,liman,2015,240.7720032,12.9,374.57,1.416949987,156.4349976,128,2.191999912,0.372386009,5.489099979,0.080082998
